original;officeDe;fullOfficeDe;officeFr;fullOfficeFr;officeEn;fullOfficeEn;officeIt;fullOfficeIt
ar W+T;ar W+T;Armasuisse Wissenschaft und Technologie;ar W+T;Armasuisse Sciences et technologies;ar W+T;Armasuisse Science and technology;;
BABS;BABS;Bundesamt für Bevölkerungsschutz;OFPP;Office fédéral de la protection de la population;;;UFPP;Ufficio federale della protezione della popolazione
BASPO;BASPO;Bundesamt für Sport;OFSPO;Office fédéral du sport;;;UFSPO;Ufficio federale dello sport
GS-VBS;GS-VBS;Generalsekretariat VBS;SG-DDPS;Secrétariat Général du DDPS;GS-DDPS;General Secretariat DDPS;SG-DDPS;Segreteria generale del DDPS
swisstopo;swisstopo;swisstopo;swisstopo;swisstopo;swisstopo;swisstopo;swisstopo;swisstopo
V;V;Verteidigung;;;;;;
Agroscope;Agroscope;Agroscope;Agroscope;Agroscope;Agroscope;Agroscope;Agroscope;Agroscope
BBT;BBT;Bundesamt für Berufsbildung und Technologie;OFFT;Office fédéral de la formation professionnelle et de la technologie;OPET;Federal Office for Professional Education and Technology;UFFT;Ufficio federale della formazione professionale e della tecnologia
BLV;BLV;Bundesamt für Lebensmittelsicherheit und Veterinärwesen;OSAV;Office fédéral de la sécurité alimentaire et des affaires vétérinaires;FSVO;Federal Food Safety and Veterinary Office;USAV;Ufficio federale della sicurezza alimentare e di veterinaria
BLW;BLW;Bundesamt für Landwirtschaft;OFAG;Office fédéral de l'agriculture;FOAG;Federal Office for Agriculture;UFAG;Ufficio federale dell'agricoltura
BVET;BVET;Bundesamt für Veterinärwesen;OVF;Office vétérinaire fédéral;FVO;Federal Veterinary Office;UFV;Ufficio federale di veterinaria
BWL;BWL;Bundesamt für wirtschaftliche Landesversorgung;OFAE;Office fédéral pour l'approvisionnement économique du pays;FONES;Federal Office for National Economic Supply;UFAE;Ufficio federale per l'approvvigionamento economico del Paese
BWO;BWO;Bundesamt für Wohnungswesen;OFL;Office fédéral du logement;FOH;Federal Office for Housing;UFAB;Ufficio federale delle abitazioni
GS-EVD;GS-WBF;Generalsekretariat WBF;SG-DEFR;Secrétariat général DEFR;GS-EAER;General Secretariat EAER;SG-DEFR;Segreteria generale DEFR
GS-WBF;GS-WBF;Generalsekretariat WBF;SG-DEFR;Secrétariat général DEFR;GS-EAER;General Secretariat EAER;SG-DEFR;Segreteria generale DEFR
ISCeco;ISCeco;Information Service Center WBF;ISCeco;Information Service Center DEFR;ISCeco;Information Service Center EAER;ISCeco;Information Service Center DEFR
IVI;IVI;Institut für Virologie und Immunologie;IVI;Institut de virologie et d'immunologie;IVI;Institute of Virology and Immunology;IVI;Istituto di virologia e di immunologia
KTI;KTI;Kommission für Technologie und Innovation;CTI;Commission pour la technologie et l'innovation;CTI;Commission for Technology and Innovation;CTI;Commissione per la tecnologia e l'innovazione
SAS;SAS;Schweizerische Akkreditierungsstelle;SAS;Service d'accréditation suisse;SAS;Swiss Accreditation Service;SAS;Servizio di accreditamento svizzero
SBFI;SBFI;Staatssekretariat für Bildung, Forschung und Innovation;SEFRI;Secrétariat d'Etat à la formation, à la recherche et à l'innovation;SERI;State Secretariat for Education, Research and Innovation;SEFRI;Segreteria di Stato per la formazione, la ricerca e l'innovazione
SECO;SECO;Staatssekretariat für Wirtschaft;SECO;Secrétariat d'Etat à l'économie;SECO;State Secretariat for Economic Affairs;SECO;Segretariato di Stato dell'economia
WEKO;WEKO;Wettbewerbskommission;COMCO;Commission de la concurrence;COMCO;Competition Commission;COMCO;Commissione della concorrenza
ZIVI;ZIVI;Vollzugsstelle für den Zivildienst;ZIVI;Organe d'exécution du service civil;ZIVI;Central Office for Civilian Service;ZIVI;Organo d'esecuzione del servizio civile
